Cell Line,CCLE Code,Tissue of Origin,Protein 10-Plex ID,Protein TMT Label,Notes
NCI-H647,NCIH647_LUNG,Lung,35,127c
OV56,OV56_OVARY,Ovary,35,128n
RH-30,RH30_SOFT_TISSUE,Soft Tissue,35,128c
RPMI 8226,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,35,129n
SJSA-1,SJSA1_BONE,Bone,35,129c
HEC-6,HEC6_ENDOMETRIUM,Endometrium,35,130n
SW837,SW837_LARGE_INTESTINE,Large Intestine,35,130c
Caki-1,CAKI1_KIDNEY,Kidney,36,126
KP-2,KP2_PANCREAS,Pancreas,36,127n
KU-19-19,KU1919_URINARY_TRACT,Urinary Tract,36,127c
MFE-296,MFE296_ENDOMETRIUM,Endometrium,36,128n
NCI-H292,NCIH292_LUNG,Lung,36,128c
NCI-H716,NCIH716_LARGE_INTESTINE,Large Intestine,36,129n
NU-DHL-1,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,36,129c
OCI-LY3,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,36,130n
SK-N-MC,SKNMC_BONE,Bone,36,130c
ChaGo-K-1,CHAGOK1_LUNG,Lung,37,126
EFM-192A,EFM192A_BREAST,Breast,37,127n
HEC-265,HEC265_ENDOMETRIUM,Endometrium,37,127c
MOLM-16,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,37,128n
PANC-1,PANC1_PANCREAS,Pancreas,37,128c
SCC-25,SCC25_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,37,129n
RT4,RT4_URINARY_TRACT,Urinary Tract,37,129c
T24,T24_URINARY_TRACT,Urinary Tract,37,130n
TF-1,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,37,130c
A101D,A101D_SKIN,Skin,38,126
Daoy,DAOY_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,38,127n
JM1,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,38,127c
KASUMI-2,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,38,128n
KYM-1,KYM1_SOFT_TISSUE,Soft Tissue,38,128c
KYSE-410,KYSE410_OESOPHAGUS,Oesophagus,38,129n
CL-34,CL34_LARGE_INTESTINE,Large Intestine,38,129c
NCI-H446,NCIH446_LUNG,Lung,38,130n
SK-N-AS,SKNAS_AUTONOMIC_GANGLIA,Autonomic Ganglia,38,130c
DAN-G,DANG_PANCREAS,Pancreas,39,126
KNS-42,KNS42_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,39,127n
HEC-108,HEC108_ENDOMETRIUM,Endometrium,39,127c
JeKo-1,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,39,128n
JURKAT,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,39,128c
MSTO-211H,MSTO211H_PLEURA,Pleura,39,129n
OCUM-1,OCUM1_STOMACH,Stomach,39,129c
CCK-81,CCK81_LARGE_INTESTINE,Large Intestine,39,130n
SNU-449,SNU449_LIVER,Liver,39,130c
8505C,8505C_THYROID,Thyroid,40,126
HCC-1833,HCC1833_LUNG,Lung,40,127n
Panc 04.03,PANC0403_PANCREAS,Pancreas,40,127c
J82,J82_URINARY_TRACT,Urinary Tract,40,128n
JHH-4,JHH4_LIVER,Liver,40,128c
OVSAHO,OVSAHO_OVARY,Ovary,40,129n
RL,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,40,129c
SNU-C5,SNUC5_LARGE_INTESTINE,Large Intestine,40,130n
SU-DHL-6,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,40,130c
MFE-319,MFE319_ENDOMETRIUM,Endometrium,41,126
HD-MY-Z,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,41,127n
HDQ-P1,HDQP1_BREAST,Breast,41,127c
JHH-6,JHH6_LIVER,Liver,41,128n
L-428,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,41,128c
LMSU,LMSU_STOMACH,Stomach,41,129n
HUP-T4,HUPT4_PANCREAS,Pancreas,41,129c
SW 1783,SW1783_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,41,130n
UM-UC-3,UMUC3_URINARY_TRACT,Urinary Tract,41,130c
SK-LU-1,SKLU1_LUNG,Lung,42,126
Ishikawa (Heraklio) 02 ER-,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,Endometrium,42,127n
SNG-M,SNGM_ENDOMETRIUM,Endometrium,42,127c
GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,42,128n
NCI-H929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,42,128c
Panc 02.03,PANC0203_PANCREAS,Pancreas,42,129n
RCH-ACV,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,42,129c
SNU-423,SNU423_LIVER,Liver,42,130n
SNU-1079,SNU1079_BILIARY_TRACT,Biliary Tract,42,130c
