gene,included,exclusion_reason
CASKIN2,True,
CASP1,True,
CASP2,True,
CASP3,True,
CASP4,True,
CASP6,True,
CASP7,True,
CASP8,True,
CASP9,True,
CAST,True,
CASZ1,True,
CAT,True,
CAV1,True,
CAV2,True,
CAVIN1,True,
CAVIN2,True,
CAVIN3,True,
CBFA2T2,True,
CBFB,True,
CBL,True,
CBLB,True,
CBLL1,True,
CBR1,True,
CBR3,True,
CBR4,True,
CBX1,True,
CBX2,True,
CBX3,True,
CBX4,True,
CBX5,True,
CBX8,True,
CC2D1A,True,
CC2D1B,True,
CCAR1,True,
CCAR2,True,
CCDC102A,True,
CCDC115,True,
CCDC117,True,
CCDC12,True,
CCDC120,True,
CCDC124,True,
CCDC127,True,
CCDC134,True,
CCDC137,True,
CCDC174,True,
CCDC175,True,
CCDC186,True,
CCDC22,True,
CCDC25,True,
CCDC43,True,
CCDC47,True,
CCDC50,True,
CCDC51,True,
CCDC6,True,
CCDC61,True,
CCDC71L,True,
CCDC82,True,
CCDC85C,True,
CCDC86,True,
CCDC88A,True,
CCDC88C,True,
CCDC9,True,
CCDC90B,True,
CCDC91,True,
CCDC93,True,
CCDC97,True,
CCDC9B,True,
CCM2,True,
CCN1,True,
CCN2,True,
CCNA2,True,
CCNB1,True,
CCNB2,True,
CCNC,True,
CCND1,True,
CCNH,True,
CCNK,True,
CCNL1,True,
CCNL2,True,
CCNT1,True,
CCNT2,True,
CCNY,True,
CCNYL1,True,
CCP110,True,
CCS,True,
CCT2,True,
CCT3,True,
CCT4,True,
CCT5,True,
CCT6A,True,
CCT7,True,
CCT8,True,
CD109,True,
CD151,True,
CD276,True,
CD2AP,True,
CD2BP2,True,
CD38,True,
CD40,True,
CD44,True,
CD46,True,
CD47,True,
CD55,True,
CD58,True,
CD59,True,
CD63,True,
CD74,True,
CD81,True,
CD82,True,
CD9,True,
CD99,True,
CD99L2,True,
CDA,True,
CDC123,True,
CDC16,True,
CDC20,True,
CDC23,True,
CDC25C,True,
CDC26,True,
CDC27,True,
CDC34,True,
CDC37,True,
CDC37L1,True,
CDC40,True,
CDC42,True,
CDC42BPA,True,
CDC42BPB,True,
CDC42BPG,True,
CDC42EP1,True,
CDC42EP2,True,
CDC42EP3,True,
CDC42EP4,True,
CDC42SE2,True,
CDC5L,True,
CDC73,True,
CDCA2,True,
CDCA5,True,
CDCA7L,True,
CDCA8,True,
CDCP1,True,
CDH1,True,
CDH13,True,
CDH2,True,
CDH3,True,
CDIPT,True,
CDK1,True,
CDK11A,True,
CDK11B,True,
CDK12,True,
CDK13,True,
CDK16,True,
CDK17,True,
CDK19,True,
CDK2,True,
CDK2AP1,True,
CDK3,True,
CDK4,True,
CDK5,True,
CDK5RAP1,True,
CDK5RAP2,True,
CDK5RAP3,True,
CDK6,True,
CDK7,True,
CDK9,True,
CDKAL1,True,
CDKN1A,True,
CDKN1B,True,
CDKN2A,True,
CDKN2AIP,True,
CDKN2AIPNL,True,
CDKN2C,True,
CDPF1,True,
CDR2,True,
CDR2L,True,
CDS2,True,
CDV3,True,
CDYL,True,
CEACAM1,True,
CEACAM5,True,
CEBPB,True,
CEBPG,True,
CEBPZ,True,
CEBPZOS,True,
CELF1,True,
CELF2,True,
CELSR1,True,
CELSR2,True,
CEMIP2,True,
CENPB,True,
CENPC,True,
CENPE,True,
CENPF,True,
CENPH,True,
CENPM,True,
CENPQ,True,
CENPS-CORT,True,
CENPV,True,
CEP120,True,
CEP128,True,
CEP131,True,
CEP135,True,
CEP152,True,
CEP164,True,
CEP170,True,
CEP170B,True,
CEP192,True,
CEP250,True,
CEP290,True,
CEP350,True,
CEP41,True,
CEP43,True,
CEP44,True,
CEP55,True,
CEP57,True,
CEP63,True,
CEP76,True,
CEP78,True,
CEP85,True,
CEP89,True,
CEP97,True,
CEPT1,True,
CERS2,True,
CERS5,True,
CERS6,True,
CERT1,True,
CES1,True,
CES2,True,
CETN2,True,
CETN3,True,
CFAP20,True,
CFAP298,True,
CFAP36,True,
CFDP1,True,
CFL1,True,
CFL2,True,
CGAS,True,
CGGBP1,True,
CGN,True,
CGNL1,True,
CGREF1,True,
CHAC2,True,
CHAF1A,True,
CHAF1B,True,
CHAMP1,True,
CHCHD1,True,
CHCHD2,True,
CHCHD3,True,
CHCHD4,True,
CHCHD5,True,
CHCHD6,True,
CHCHD7,True,
CHD1,True,
CHD1L,True,
CHD2,True,
CHD3,True,
CHD4,True,
CHD5,True,
CHD6,True,
CHD7,True,
CHD8,True,
CHD9,True,
CHDH,True,
CHEK1,True,
CHEK2,True,
CHERP,True,
